DSCAM,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
KCNQ5,3,3,4,3,4,4,3,4,4,3,4,3,4,3,4,4,4,3,3,3,3,4,3,4,4,3,3,3,3,4
MNDA,17,18,20,18,20,20,16,20,20,16,20,16,20,18,20,20,20,17,17,16,17,20,17,20,20,16,16,18,16,20
APOC1,15,16,17,16,17,17,15,17,17,15,17,15,17,16,17,17,16,15,15,15,15,17,15,17,17,15,15,16,15,17
DYSF,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
WDFY3,5,5,1,5,1,1,5,1,1,5,1,5,1,6,1,1,1,5,5,6,5,1,6,1,1,5,6,5,5,1
NCALD,7,7,8,7,4,8,7,8,4,7,8,7,8,3,8,4,8,7,7,3,7,8,3,8,4,7,3,7,7,4
LINC00299,7,7,8,7,-1,8,7,8,6,7,8,7,8,-1,8,6,8,7,7,-1,7,8,-1,8,-1,7,5,7,7,-1
STK17A,3,3,4,3,4,4,3,4,4,3,4,3,4,3,4,4,4,3,3,3,3,4,3,4,4,3,3,3,3,4
IKZF3,3,3,4,3,4,4,3,4,4,3,4,3,4,3,4,4,4,3,3,3,3,4,3,4,4,3,3,3,3,4
ITK,9,9,10,9,10,10,9,10,10,9,10,9,10,9,10,10,10,9,9,9,9,10,9,10,10,9,9,9,9,10
PTPRJ,1,1,3,1,3,3,1,3,3,1,3,1,3,1,3,3,3,1,1,1,1,3,1,3,3,1,1,1,1,3
CSF3R,5,13,14,14,13,14,5,14,13,5,14,5,13,13,13,13,13,5,5,6,5,13,6,13,14,5,6,13,5,13
ZEB2,5,13,14,14,13,14,5,14,13,5,14,5,13,13,13,13,13,5,5,6,5,13,6,13,14,5,6,13,5,13
COLQ,25,23,28,28,-1,28,24,27,6,24,27,23,29,-1,27,6,28,24,25,-1,27,28,-1,27,-1,25,5,27,24,-1
SASH1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
IL32,6,6,7,6,8,7,6,7,8,6,7,6,7,7,7,8,7,6,6,7,6,7,7,7,8,6,7,6,6,8
SLCO2B1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AXL,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
TMSB4X,6,6,7,6,8,7,6,7,8,6,7,6,7,7,7,8,7,6,6,7,6,7,7,7,8,6,7,6,6,8
LZTFL1,7,7,8,7,6,8,7,8,6,7,8,7,8,5,8,6,8,7,7,5,7,8,5,8,6,7,5,7,7,6
DPYD,5,13,14,14,13,14,5,14,13,5,14,5,13,13,13,13,13,5,5,6,5,13,6,13,14,5,6,13,5,13
GRAP2,4,4,5,4,5,5,4,5,5,4,5,4,5,4,5,5,5,4,4,4,4,5,4,5,5,4,4,4,4,5
